id,entry_type,target_audience,role,region,question,answer,ml_tag
17,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
18,career_qa,all_job_seekers,IT Support,Global Remote,What is the best way for a new job seeker to break into a IT Support role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
19,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
20,ats_keywords,all_job_seekers,Software Engineer,Africa,What ATS keywords should a Software Engineer include for roles in Africa?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
21,career_qa,all_job_seekers,IT Support,Africa,What is the best way for a new job seeker to break into a IT Support role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
22,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
23,mock_interview,all_job_seekers,Marketing Analyst,Global Remote,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
24,mock_interview,all_job_seekers,IT Support,Global Remote,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
25,mock_interview,all_job_seekers,Product Manager,Africa,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
26,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
27,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
28,resume_rewrite,all_job_seekers,Data Analyst,US/EU,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
29,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
30,career_qa,all_job_seekers,UX Designer,Global Remote,What is the best way for a new job seeker to break into a UX Designer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
31,career_qa,all_job_seekers,Product Manager,Africa,What is the best way for a new job seeker to break into a Product Manager role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
32,career_qa,all_job_seekers,Software Engineer,Africa,What is the best way for a new job seeker to break into a Software Engineer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
33,career_qa,all_job_seekers,UX Designer,Global Remote,What is the best way for a new job seeker to break into a UX Designer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
34,ats_keywords,all_job_seekers,Software Engineer,Global Remote,What ATS keywords should a Software Engineer include for roles in Global Remote?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
35,resume_rewrite,all_job_seekers,Marketing Analyst,Global Remote,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
36,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
37,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
38,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
39,mock_interview,all_job_seekers,Software Engineer,Global Remote,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
40,ats_keywords,all_job_seekers,IT Support,Global Remote,What ATS keywords should a IT Support include for roles in Global Remote?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
41,ats_keywords,all_job_seekers,IT Support,Africa,What ATS keywords should a IT Support include for roles in Africa?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
42,resume_rewrite,all_job_seekers,Marketing Analyst,US/EU,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
43,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
44,career_qa,all_job_seekers,UX Designer,Global Remote,What is the best way for a new job seeker to break into a UX Designer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
45,resume_rewrite,all_job_seekers,IT Support,Global Remote,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
46,mock_interview,all_job_seekers,UX Designer,Global Remote,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
47,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
48,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
49,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
50,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
51,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
52,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
53,resume_rewrite,all_job_seekers,IT Support,Africa,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
54,mock_interview,all_job_seekers,UX Designer,Africa,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
55,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
56,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
57,mock_interview,all_job_seekers,Data Analyst,Global Remote,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
58,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
59,career_qa,all_job_seekers,Product Manager,Global Remote,What is the best way for a new job seeker to break into a Product Manager role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
60,career_qa,all_job_seekers,IT Support,Global Remote,What is the best way for a new job seeker to break into a IT Support role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
61,career_qa,all_job_seekers,Data Analyst,Africa,What is the best way for a new job seeker to break into a Data Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
62,resume_rewrite,all_job_seekers,Product Manager,Africa,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
63,mock_interview,all_job_seekers,Software Engineer,Africa,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
64,resume_rewrite,all_job_seekers,Marketing Analyst,US/EU,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
65,ats_keywords,all_job_seekers,Software Engineer,Global Remote,What ATS keywords should a Software Engineer include for roles in Global Remote?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
66,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
67,resume_rewrite,all_job_seekers,IT Support,US/EU,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
68,career_qa,all_job_seekers,Product Manager,Global Remote,What is the best way for a new job seeker to break into a Product Manager role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
69,career_qa,all_job_seekers,Software Engineer,Global Remote,What is the best way for a new job seeker to break into a Software Engineer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
70,career_qa,all_job_seekers,Product Manager,US/EU,What is the best way for a new job seeker to break into a Product Manager role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
71,mock_interview,all_job_seekers,Software Engineer,Africa,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
72,resume_rewrite,all_job_seekers,Marketing Analyst,US/EU,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
73,career_qa,all_job_seekers,Software Engineer,Africa,What is the best way for a new job seeker to break into a Software Engineer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
74,mock_interview,all_job_seekers,UX Designer,Africa,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
75,ats_keywords,all_job_seekers,UX Designer,Africa,What ATS keywords should a UX Designer include for roles in Africa?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
76,career_qa,all_job_seekers,Data Analyst,US/EU,What is the best way for a new job seeker to break into a Data Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
77,career_qa,all_job_seekers,Data Analyst,US/EU,What is the best way for a new job seeker to break into a Data Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
78,resume_rewrite,all_job_seekers,Software Engineer,Africa,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
79,resume_rewrite,all_job_seekers,Marketing Analyst,Global Remote,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
80,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
81,mock_interview,all_job_seekers,Product Manager,Africa,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
82,career_qa,all_job_seekers,UX Designer,US/EU,What is the best way for a new job seeker to break into a UX Designer role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
83,mock_interview,all_job_seekers,IT Support,Global Remote,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
84,career_qa,all_job_seekers,Data Analyst,Africa,What is the best way for a new job seeker to break into a Data Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
85,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
86,mock_interview,all_job_seekers,IT Support,Global Remote,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
87,resume_rewrite,all_job_seekers,Product Manager,Africa,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
88,mock_interview,all_job_seekers,Data Analyst,US/EU,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
89,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
90,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
91,career_qa,all_job_seekers,IT Support,Africa,What is the best way for a new job seeker to break into a IT Support role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
92,ats_keywords,all_job_seekers,Marketing Analyst,Africa,What ATS keywords should a Marketing Analyst include for roles in Africa?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
93,career_qa,all_job_seekers,Software Engineer,Global Remote,What is the best way for a new job seeker to break into a Software Engineer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
94,mock_interview,all_job_seekers,UX Designer,Global Remote,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
95,career_qa,all_job_seekers,IT Support,Global Remote,What is the best way for a new job seeker to break into a IT Support role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
96,resume_rewrite,all_job_seekers,Product Manager,US/EU,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
97,mock_interview,all_job_seekers,IT Support,Africa,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
98,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
99,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
100,ats_keywords,all_job_seekers,IT Support,Global Remote,What ATS keywords should a IT Support include for roles in Global Remote?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
101,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
102,career_qa,all_job_seekers,Marketing Analyst,Africa,What is the best way for a new job seeker to break into a Marketing Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
103,mock_interview,all_job_seekers,Product Manager,US/EU,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
104,mock_interview,all_job_seekers,Software Engineer,Global Remote,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
105,resume_rewrite,all_job_seekers,Software Engineer,Africa,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
106,ats_keywords,all_job_seekers,IT Support,Africa,What ATS keywords should a IT Support include for roles in Africa?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
107,mock_interview,all_job_seekers,Product Manager,Africa,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
108,career_qa,all_job_seekers,UX Designer,Global Remote,What is the best way for a new job seeker to break into a UX Designer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
109,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
110,ats_keywords,all_job_seekers,IT Support,Africa,What ATS keywords should a IT Support include for roles in Africa?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
111,mock_interview,all_job_seekers,IT Support,Africa,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
112,career_qa,all_job_seekers,Product Manager,Africa,What is the best way for a new job seeker to break into a Product Manager role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
113,career_qa,all_job_seekers,Software Engineer,Africa,What is the best way for a new job seeker to break into a Software Engineer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
114,ats_keywords,all_job_seekers,Software Engineer,Global Remote,What ATS keywords should a Software Engineer include for roles in Global Remote?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
115,ats_keywords,all_job_seekers,IT Support,US/EU,What ATS keywords should a IT Support include for roles in US/EU?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
116,resume_rewrite,all_job_seekers,Data Analyst,US/EU,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
117,career_qa,all_job_seekers,IT Support,Africa,What is the best way for a new job seeker to break into a IT Support role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
118,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
119,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
120,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
121,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
122,ats_keywords,all_job_seekers,Software Engineer,US/EU,What ATS keywords should a Software Engineer include for roles in US/EU?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
123,mock_interview,all_job_seekers,Data Analyst,US/EU,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
124,career_qa,all_job_seekers,Software Engineer,Africa,What is the best way for a new job seeker to break into a Software Engineer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
125,mock_interview,all_job_seekers,Data Analyst,Global Remote,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
